SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc113,ng102,ne101,13,16,10,20,-999,-999,2.2221469382387222,-999,0.4130725860595703,0.0,189.15310629037685,2703.188964447201
sc114,ng101,ne101,13,16,10,20,-999,-999,2.2157687193533255,-999,0.06416130065917969,0.0,189.1531062903764,2703.188964447201
sc114,ng102,ne101,13,16,10,25,-999,-999,2.215768719353325,-999,0.06416130065917969,0.0,189.1531062903764,2703.188964447201
sc115,ng101,ne101,13,16,20,20,-999,-999,2.132850198821126,-999,0.47525978088378906,0.0,189.15310629037685,2703.188964447201
sc115,ng102,ne101,13,16,0,10,-999,-999,2.420000000000001,-999,0.47525978088378906,0.0,189.15310629037685,2703.188964447201
sc116,ng101,ne101,13,16,20,20,-999,-999,2.356774667550377,-999,0.3950481414794922,0.0,189.1531062903773,2703.188964447201
sc116,ng102,ne101,13,16,0,20,-999,-999,1.976,-999,0.3950481414794922,0.0,189.1531062903773,2703.188964447201
sc117,ng101,ne101,13,16,20,20,-999,-999,3.248419431798627,-999,0.061161041259765625,0.0,189.1531062903773,2703.188964447201
sc117,ng102,ne101,13,16,0,25,-999,-999,0.7150000000000001,-999,0.061161041259765625,0.0,189.1531062903773,2703.188964447201
sc118,ng101,ne101,13,16,20,20,-999,-999,3.0278879264933765,-999,0.47626495361328125,0.0,56.21776257501733,2703.188964447201
sc118,ng102,ne101,13,16,10,10,-999,-999,0.0,-999,0.47626495361328125,0.0,56.21776257501733,2703.188964447201
sc119,ng101,ne101,13,16,20,20,-999,-999,1.8178879264933765,-999,0.24364662170410156,0.0,56.21776257501733,2703.188964447201
sc119,ng102,ne101,13,16,10,20,-999,-999,2.420000000000001,-999,0.24364662170410156,0.0,56.21776257501733,2703.188964447201
sc120,ng101,ne101,13,16,20,20,-999,-999,3.2318934648508773,-999,0.08723258972167969,0.0,56.21776257501733,2703.188964447201
sc120,ng102,ne101,13,16,10,25,-999,-999,0.7150000000000001,-999,0.08723258972167969,0.0,56.21776257501733,2703.188964447201
